bin,banco,pais,marca,tipo
420767,	JPMORGAN CHASE BANK, N.A.	US	VISA	DEBIT CLASSIC
442446,	GULF BANK K.S.C.	KW	VISA	CREDIT SIGNATURE
474151,	TURKIYE GARANTI BANKASI A. S.	TR	VISA	CREDIT CLASSIC
525475,	(No especificado)	US	MASTERCARD	DEBIT WORLD ELITE
416916,	BANCOPPEL S.A.	MX	VISA	DEBIT CLASSIC
542539,	MERRICK BANK CORPORATION	US	MASTERCARD	CREDIT STANDARD
419956,	(No especificado)	GB	VISA	CREDIT BUSINESS
530691,	BANCOLOMBIA S.A.	CO	MASTERCARD	DEBIT STANDARD
516383,	BANCO SANTANDER, S.A.	ES	MASTERCARD	DEBIT STANDARD
557910,	BANCO SANTANDER, S.A.	MX	MASTERCARD	DEBIT CIRRUS
515220,	FIDELITY INFORMATION SERVICES, INC.	US	MASTERCARD	DEBIT STANDARD
516310,	WESTPAC BANKING CORPORATION	AU	MASTERCARD	CREDIT BUSINESS
554730,	GLOBAL PROCESSING SA	AR	MASTERCARD	DEBIT PREPAID RELOADABLE
519269,	BANK OF MONTREAL	CA	MASTERCARD	CREDIT STANDARD
535142,	NATIONAL BANK OF GREECE, S.A.	GR	MASTERCARD	DEBIT STANDARD
530691,	BANCOLOMBIA S.A.	CO	MASTERCARD	DEBIT STANDARD
557910,	BANCO SANTANDER, S.A.	MX	MASTERCARD	DEBIT CIRRUS

557910,Banco Santander Mexico Sa Institucion De Banca Multiple Grupo Financ,Mexico,Mastercard,Debit
461046,Jpmorgan Chase Bank N.A. - Debit,United States of America (the),Visa,Debit
406032,Jpmorgan Chase Bank N.A. - Debit,United States of America (the),Visa,Debit
372290,Desconocido,Switzerland,American express,Credit
478200,Jpmorgan Chase Bank N.A. - Debit,United States of America (the),Visa,Debit
496045,Desconocido,Desconocido,Desconocido,Desconocido
474151,Desconocido,Desconocido,Desconocido,Desconocido

